k_device,k_ts,k_model,调整值,反馈意见,简要分析,标签,工区建议
1326,2025/10/10 17:00,NB--客户认为这个槽连续缩NB一下午了，导致浓度高。,,客户认为这个槽连续缩NB一下午了，导致浓度高。,效应之后的缩NB，会不会导致了走反？,"效应,走反",加
1305,2025/10/10 17:00,NB--1305的浓度已经过来了，从最近的一个浓度曲线波段看，浓度开始走大的迹象，这时候缩NB是反向操作，浓度会越走越大,,1305的浓度已经过来了，从最近的一个浓度曲线波段看，浓度开始走大的迹象，这时候缩NB是反向操作，浓度会越走越大,目前模型对于最近1，2个周期的判断不够，因为一直用的是3个周期，正在考虑如何加大最近的权重。,,
1333,2025/10/11 5:00,NB--槽子波动，不要缩NB，这样浓度越来越大。越摆越大。,,槽子波动，不要缩NB，这样浓度越来越大。越摆越大。,应该是电压偏高对浓度判断失误了。,效应,不动
1335,2025/10/11 1:00,NB--1335欠过比0.39，电压翘头缺料，夜班一直未调整。模型应该缩NB。,,,,,
1329,2025/10/11 5:00,NB--1329换极出铝后缩NB不应该,,1329换极出铝后缩NB不应该,换极后压差高，模型缩NB。,"换极,压差过高",不动
1310,2025/10/11 1:00,NB--1310的调整反了，出铝后已经开始走反了。浓度过高了。,,1310的调整反了，出铝后已经开始走反了。浓度过高了。,换极后压差高，模型缩NB。,"换极,压差过高",加
1311,2025/10/11 9:00,NB--1311的这9点的时候就不应该是缩小NB.,,1311的这9点的时候就不应该是缩小NB.,是数据延迟没拿到最后那个周期的大欠量。这个实时性的问题。,实时性,加
1318,2025/10/11 6:00,"NB--1318缺料,模型没有及时缩NB",,"1318缺料,模型没有及时缩NB",模型处于静默期没推。,静默期,减
1335,2025/10/29 13:00,NB--换完极缩NB，导致大浓度,,换完极缩NB，导致大浓度,换极后电压偏高，模型认为volt_residue_mean_6P过高，然后缩NB。缩NB之后槽控机走大欠量，然后模型会拉NB。是否可以不拉NB？,"换极,压差过高",不动
1327,2025/10/30 16:30,NB--浓度太高，模型没有提示要拉NB，人工调整后又被模型自动减少。,,浓度太高，模型没有提示要拉NB，人工调整后又被模型自动减少。,,,
1315,2025/10/30 17:30,NB--压差高缩nb后浓度过大。,,压差高缩nb后浓度过大。,,,
1320,2025/10/31 16:00,NB--浓度已经很高，但模型没有缩NB，与槽控机运行原理不符。,,浓度已经很高，但模型没有缩NB，与槽控机运行原理不符。,,,
1301,2025/11/1 10:00,NB--不满足降电压条件，但模型推荐降低电压。,,不满足降电压条件，但模型推荐降低电压。,,,
1327,2025/11/1 11:00,NB--槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,,
1317,2025/11/1 11:00,NB--槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,,
1318,2025/11/1 11:00,NB--槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,,
1319,2025/11/1 11:00,NB--槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,槽连续拉浓度后连续缩NB，近几天频繁来回调整，导致浓度曲线不稳定,,,
1315,2025/11/1 11:30,NB--一天调整5次，缩完拉，拉完缩,,一天调整5次，缩完拉，拉完缩,,,
1314,2025/11/2 20:30,NB--一天调整5次，缩完拉，拉完缩,,一天调整5次，缩完拉，拉完缩,,,
1316,2025/11/5 16:00,NB--3834重复推荐氟盐下料调整,,3834重复推荐氟盐下料调整,,,
1320,2025/11/5 19:30,NB--没有拉NB,,没有拉NB,,,
1322,2025/11/7 14:30,NB--不应该调整NB,,不应该调整NB,,,
1323,2025/11/7 14:30,NB--不应该调整NB,,不应该调整NB,,,
1324,2025/11/7 14:30,NB--不应该调整NB,,不应该调整NB,,,
1325,2025/11/7 14:30,NB--不应该调整NB,,不应该调整NB,,,
1326,2025/11/13 14:00,NB--浓度不低，但模型依据压差推送NB调整,,浓度不低，但模型依据压差推送NB调整,,,
1327,2025/11/13 20:00,NB--应当缩NB，模型没有推送缩NB,,应当缩NB，模型没有推送缩NB,,,
1328,2025/11/14 7:00,NB--不应该调整NB,,不应该调整NB,有点浓度低，可能还有点堵料造成了效应，但效应后浓度就变大了,"效应,浓度",
1330,2025/11/14 7:00,NB--不应该调整NB,,不应该调整NB,有点浓度低，可能还有点堵料造成了效应，但效应后浓度就变大了,"效应,浓度",
1315,2025/11/14 14:30,NB--不应该调整NB,,不应该调整NB,,,
1326,2025/11/14 14:30,NB--不应该调整NB,,不应该调整NB,,,
1331,2025/11/14 14:30,NB--有点浓度低，可能还有点堵料造成了效应是吗，但效应后浓度就变大了,,有点浓度低，可能还有点堵料造成了效应是吗，但效应后浓度就变大了,,,
1332,2025/11/15 8:00,NB--不应当缩NB，会导致浓度增大,,不应当缩NB，会导致浓度增大,,,
1333,2025/11/15 8:00,NB--不应当缩NB，会导致浓度增大,,不应当缩NB，会导致浓度增大,,,
1334,2025/11/15 10:30,NB--1334换完极还是缩，导致浓度走大,,1334换完极还是缩，导致浓度走大,,,
1327,2025/11/16 6:00,NB--曲线走反，又缩了。一会浓度又大了,,曲线走反，又缩了。一会浓度又大了,,,
1306,2025/11/16 15:30,NB--火眼停料电压短时间上升，过量多点再缩的话就会大浓度了,,火眼停料电压短时间上升，过量多点再缩的话就会大浓度了,,,
1312,2025/11/16 15:30,NB--换了极后还是会出现缩的现象,,换了极后还是会出现缩的现象,,,
1320,2025/11/16 15:30,NB--人工介入调整拉开的，现场浓度太大，火眼已经不通畅了，现场连续停料,,人工介入调整拉开的，现场浓度太大，火眼已经不通畅了，现场连续停料,,,
1314,2025/11/18 11:00,NB--浓度已经下降，但是NB又被拉上去了，可能导致效应,,浓度已经下降，但是NB又被拉上去了，可能导致效应,,,
1317,2025/11/21 10:00,NB--滑电压槽不要缩NB,1335,滑电压槽不要缩NB,应该是模型只判断了压差过大而没有考虑过热度小和浓度偏低的问题，所以只根据压差去缩NB,,
1311,2025/5/23 17:30,NB--tyh：应该拉NB,,tyh：应该拉NB,,,
1312,2025/8/9 0:00,NB--tyh：过欠正常，压差过高，基准下料间隔正常,,tyh：过欠正常，压差过高，基准下料间隔正常,,,
1316,2025/8/9 0:00,NB--tyh：过欠正常，压差过高，基准下料间隔正常,,tyh：过欠正常，压差过高，基准下料间隔正常,,,
1322,2025/8/9 10:00,NB--tyh：模型缩5过欠正常，压差过高,,tyh：模型缩5过欠正常，压差过高,,,
1327,2025/8/9 10:00,NB--tyh：过欠正常、压差偏高的原因 是 火眼堵料，还缩NB 浓度会偏大。,,tyh：过欠正常、压差偏高的原因 是 火眼堵料，还缩NB 浓度会偏大。,,,
1318,2025/8/9 10:00,NB--tyh：型缩5?过欠正常，压差偏高。,,tyh：型缩5?过欠正常，压差偏高。,,,
1325,2025/8/8 22:00,NB--tyh：模型缩5??走过量，压差偏低，认为合理，缩完浓度也很平稳。 (认为合理),,tyh：模型缩5??走过量，压差偏低，认为合理，缩完浓度也很平稳。 (认为合理),,,
1326,2025/8/8 18:00,NB--tyh：模型缩5?过欠正常，压差过高。 ,,tyh：模型缩5?过欠正常，压差过高。 ,,,
1328,2025/8/9 2:00,NB--tyh：模型缩5?过欠正常，压差过高。 ,,tyh：模型缩5?过欠正常，压差过高。 ,,,
1322,2025/8/9 22:00,NB--tyh：模型缩5?走过量，压差偏低。问题是换级事件没有生效。 （换极bug已处理）,,tyh：模型缩5?走过量，压差偏低。问题是换级事件没有生效。 （换极bug已处理）,,,
1330,2025/8/9 2:00,NB--tyh：模型缩5?走过量，压差正常。认为模型推荐合理，缩后浓度认为也平稳。 (认为合理),,tyh：模型缩5?走过量，压差正常。认为模型推荐合理，缩后浓度认为也平稳。 (认为合理),,,
1318,2025/7/22 10:00,NB--tyh：工区长认为浓度偏大，不缩。,,tyh：工区长认为浓度偏大，不缩。,浓度走反、浓度大、走欠量 应该 拉NB  （电压走上线可以是浓度偏低，也可以是浓度特别大 ）,,
1335,2025/6/28 0:00,NB--tyh：电压走下线，过欠比合适，无需缩NB。,,tyh：电压走下线，过欠比合适，无需缩NB。,,,
1317,2025/6/28 0:00,NB--tyh：过欠比合适，不用拉NB,,tyh：过欠比合适，不用拉NB,,,
1310,2025/6/16 0:00,"NB--tyh：不宜调整NB,理由是因为浓度大，所以槽波动，应该升NB，释放极距。",,"tyh：不宜调整NB,理由是因为浓度大，所以槽波动，应该升NB，释放极距。",,,
1326,2025/6/15 0:00,NB--tyh：降电压缩Nb后浓度变大,,,,,
1327,2026/2/2 4:00,NB--浓度偏大的情况现在怎么不调整NB了,1305,浓度偏大的情况现在怎么不调整NB了,,,
1302,2026/2/2 7:00,NB--浓度偏大未调整,1332,浓度偏大未调整,,,
1316,2026/2/2 7:00,NB--浓度偏大应该拉NB,1315,浓度偏大应该拉NB,,,
